Hot_end_temperature,Machine_state,Date,Current_layer,Total_Layers,Printed_Object,User,Time_left,Plastic_material,timetime,timeperf_counter,Part
274,Printing,2021-05-10 11:02:16,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.15770244598388672,0.1581333000003724,3
275,Printing,2021-05-10 11:02:17,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.13260602951049805,0.13212830000065878,3
275,Printing,2021-05-10 11:02:18,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.1389915943145752,0.13905740000063815,3
275,Printing,2021-05-10 11:02:20,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.12457466125488281,0.1249785999998494,3
275,Printing,2021-05-10 11:02:21,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.14777779579162598,0.14804220000041823,3
275,Printing,2021-05-10 11:02:22,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.2517054080963135,0.2516255000000456,3
275,Printing,2021-05-10 11:02:23,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.1435239315032959,0.14355519999935495,3
275,Printing,2021-05-10 11:02:24,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.20086264610290527,0.20064220000040223,3
275,Printing,2021-05-10 11:02:26,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.14813733100891113,0.14850200000000768,3
275,Printing,2021-05-10 11:02:27,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.16391825675964355,0.16331429999991087,3
275,Printing,2021-05-10 11:02:28,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.1646251678466797,0.1649318999998286,3
275,Printing,2021-05-10 11:02:29,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.13563966751098633,0.13549590000002354,3
275,Printing,2021-05-10 11:02:30,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.12243986129760742,0.12250140000014653,3
275,Printing,2021-05-10 11:02:32,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.14491701126098633,0.14488369999980932,3
275,Printing,2021-05-10 11:02:33,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.12541437149047852,0.12514399999963643,3
275,Printing,2021-05-10 11:02:34,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.13850879669189453,0.1386979999997493,3
275,Printing,2021-05-10 11:02:35,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.14958977699279785,0.14914709999993647,3
275,Printing,2021-05-10 11:02:36,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.14470815658569336,0.14395039999999426,3
275,Printing,2021-05-10 11:02:37,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.13263559341430664,0.1332218000006833,3
275,Printing,2021-05-10 11:02:39,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.1314396858215332,0.13140030000067782,3
275,Printing,2021-05-10 11:02:40,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.14479804039001465,0.14531319999969128,3
274,Printing,2021-05-10 11:02:41,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.12691283226013184,0.12677779999921768,3
274,Printing,2021-05-10 11:02:42,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.13173675537109375,0.13190389999999752,3
274,Printing,2021-05-10 11:02:43,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.12847328186035156,0.12839460000031977,3
274,Printing,2021-05-10 11:02:44,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.12781286239624023,0.12794130000020232,3
274,Printing,2021-05-10 11:02:45,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.11696767807006836,0.11714839999967808,3
274,Printing,2021-05-10 11:02:47,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.13025808334350586,0.1303592000003846,3
274,Printing,2021-05-10 11:02:48,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.13068914413452148,0.13101079999978538,3
274,Printing,2021-05-10 11:02:49,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.13817644119262695,0.13874459999988176,3
274,Printing,2021-05-10 11:02:50,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.13265156745910645,0.13221920000069076,3
274,Printing,2021-05-10 11:02:51,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.12816572189331055,0.12767319999966276,3
274,Printing,2021-05-10 11:02:52,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.14118432998657227,0.14158130000032543,3
274,Printing,2021-05-10 11:02:54,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.12969088554382324,0.12899559999914345,3
274,Printing,2021-05-10 11:02:55,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.15730643272399902,0.15779960000054416,3
276,Printing,2021-05-10 11:02:56,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.14669418334960938,0.14749900000060734,3
276,Printing,2021-05-10 11:02:57,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.1616039276123047,0.16243860000031418,3
276,Printing,2021-05-10 11:02:58,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.14813566207885742,0.14758489999985613,3
276,Printing,2021-05-10 11:03:00,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.1664867401123047,0.16602460000012798,3
276,Printing,2021-05-10 11:03:01,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.13548851013183594,0.13561310000022786,3
276,Printing,2021-05-10 11:03:02,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.12880420684814453,0.12891789999957837,3
276,Printing,2021-05-10 11:03:03,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.12855219841003418,0.12854830000014772,3
276,Printing,2021-05-10 11:03:04,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.12876009941101074,0.12885909999931755,3
275,Printing,2021-05-10 11:03:05,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.14443063735961914,0.1442062000005535,3
275,Printing,2021-05-10 11:03:07,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.1479320526123047,0.1477592999999615,3
275,Printing,2021-05-10 11:03:08,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.12123346328735352,0.12081429999943794,3
275,Printing,2021-05-10 11:03:09,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.14656710624694824,0.14712950000011915,3
275,Printing,2021-05-10 11:03:10,39,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,111.0,Onyx,0.13661479949951172,0.13635229999999865,3
